type_name,counts.losses,counts.losses_new,counts.damaged,counts.damaged_new
Tanks,2513,7,136,0
Infantry fighting vehicles,4836,10,172,0
Infantry mobility vehicles,299,0,27,0
"Command posts, communication",335,0,4,0
Anti-tank systems,38,0,0,0
Anti-aircraft systems,290,0,44,2
Towed artillery,249,0,66,1
Self-propelled artillery,656,0,46,0
Multiple rocket launchers,325,1,34,0
"Radars, jammers",93,0,20,0
Engineering,409,0,15,0
Transport,2815,3,95,0
Airplanes,71,0,12,0
Helicopters,94,0,22,0
Drones,364,1,0,0
Vessels,13,0,6,0
Other,80,0,5,0
